EQUIPEMENT;TYPE;INTERSECTION;MeasureNB;EMPLACEMENT;LATITUDE;LONGITUDE;NOM-FICHIER;TOPIC
det-00223-01;det0;223;measure0;Fullum / Notre-Dame;45,526323;-73,545333;http://depot.ville.montreal.qc.ca/cgmu/223_Fullum_Notre-Dame.pdf;worldcongress2017/pilot_resologi/odtf1/ca/qc/mtl/mobil/traf/detector/det0/det-00223-01/
det-00459-01;det0;459;measure1;Saint-Denis / Viger;45,51156665;-73,55595749;http://depot.ville.montreal.qc.ca/cgmu/459_Saint-Denis_Viger.pdf;worldcongress2017/pilot_resologi/odtf1/ca/qc/mtl/mobil/traf/detector/det0/det-00459-01/
det-00721-01;det0;721;measure0;Panet / Viger;45,51775221;-73,54985118;http://depot.ville.montreal.qc.ca/cgmu/721_Panet_Viger.pdf;worldcongress2017/pilot_resologi/odtf1/ca/qc/mtl/mobil/traf/detector/det0/det-00721-01/
det-00842-01;det0;842;measure1;Beaubien / Pie-IX;45,562669;-73,579637;http://depot.ville.montreal.qc.ca/cgmu/842_Beaubien_Pie-IX.pdf;worldcongress2017/pilot_resologi/odtf1/ca/qc/mtl/mobil/traf/detector/det0/det-00842-01/
det-00865-01;det0;865;measure1;Pie-IX / Rosemont;45,560823;-73,573791;http://depot.ville.montreal.qc.ca/cgmu/865_Pie-IX_Rosemont.pdf;worldcongress2017/pilot_resologi/odtf1/ca/qc/mtl/mobil/traf/detector/det0/det-00865-01/
det-18059-01;det0;18059;measure{0-1};Notre-Dame / Poste de d̩tection 5;45,58384916;-73,5094732;http://depot.ville.montreal.qc.ca/cgmu/18059_Notre-Dame_Poste_Detection_5.pdf;worldcongress2017/pilot_resologi/odtf1/ca/qc/mtl/mobil/traf/detector/det0/det-18059-01/
det-00714-01;det1;714;;De Lorimier / Ren̩-L̩vesque;45,523317;-73,547493;http://depot.ville.montreal.qc.ca/cgmu/714_DeLorimier_Ren̩-L̩vesque.pdf;worldcongress2017/pilot_resologi/odtf1/ca/qc/mtl/mobil/traf/detector/det1/det-00714-01/
det-00716-01;det1;716;;Frontenac / Iberville / Notre-Dame;45,529878;-73,545044;http://depot.ville.montreal.qc.ca/cgmu/716_Frontenac_Iberville_Notre-Dame.pdf;worldcongress2017/pilot_resologi/odtf1/ca/qc/mtl/mobil/traf/detector/det1/det-00716-01/
det-00717-01;det1;717;;Notre-Dame / De Lorimier / Viger;45,523557;-73,545465;http://depot.ville.montreal.qc.ca/cgmu/717_Notre-Dame_DeLorimier_Viger.pdf;worldcongress2017/pilot_resologi/odtf1/ca/qc/mtl/mobil/traf/detector/det1/det-00717-01/
det-00757-01;det1;757;;Notre-Dame / Bourbonni̬re;45,54603;-73,534489;http://depot.ville.montreal.qc.ca/cgmu/757_Notre-Dame_Bourbonni̬re.pdf;worldcongress2017/pilot_resologi/odtf1/ca/qc/mtl/mobil/traf/detector/det1/det-00757-01/
det-00757-02;det1;757;;Notre-Dame / Bourbonni̬re;45,54603;-73,534489;http://depot.ville.montreal.qc.ca/cgmu/757_Notre-Dame_Bourbonni̬re.pdf;worldcongress2017/pilot_resologi/odtf1/ca/qc/mtl/mobil/traf/detector/det1/det-00757-02/
det-00773-01;det1;773;;Notre-Dame / Pie-IX;45,548263;-73,534885;http://depot.ville.montreal.qc.ca/cgmu/773_Notre-Dame_Pie-IX.pdf;worldcongress2017/pilot_resologi/odtf1/ca/qc/mtl/mobil/traf/detector/det1/det-00773-01/
det-00773-02;det1;773;;Notre-Dame / Pie-IX;45,548263;-73,534885;http://depot.ville.montreal.qc.ca/cgmu/773_Notre-Dame_Pie-IX.pdf;worldcongress2017/pilot_resologi/odtf1/ca/qc/mtl/mobil/traf/detector/det1/det-00773-02/
det-00777-01;det1;777;;Notre-Dame / Viau;45,556112;-73,528253;http://depot.ville.montreal.qc.ca/cgmu/777_Notre-Dame_Viau.pdf;worldcongress2017/pilot_resologi/odtf1/ca/qc/mtl/mobil/traf/detector/det1/det-00777-01/
det-00777-02;det1;777;;Notre-Dame / Viau;45,556112;-73,528253;http://depot.ville.montreal.qc.ca/cgmu/777_Notre-Dame_Viau.pdf;worldcongress2017/pilot_resologi/odtf1/ca/qc/mtl/mobil/traf/detector/det1/det-00777-02/
det-00966-01;det1;966;;Bossuet / Notre-Dame;45,566676;-73,522957;http://depot.ville.montreal.qc.ca/cgmu/966_Bossuet_Notre-Dame.pdf;worldcongress2017/pilot_resologi/odtf1/ca/qc/mtl/mobil/traf/detector/det1/det-00966-01/
det-00967-01;det1;967;;Boucherville / Notre-Dame;45,584608;-73,50843;http://depot.ville.montreal.qc.ca/cgmu/967_01-Boucherville_Notre-Dame.pdf;worldcongress2017/pilot_resologi/odtf1/ca/qc/mtl/mobil/traf/detector/det1/det-00967-01/
det-00970-01;det1;970;;Notre-Dame / Curatteau;45,585318;-73,508207;http://depot.ville.montreal.qc.ca/cgmu/970_Notre-Dame_Curatteau.pdf;worldcongress2017/pilot_resologi/odtf1/ca/qc/mtl/mobil/traf/detector/det1/det-00970-01/
det-00970-02;det1;970;;Notre-Dame / Curatteau;45,585318;-73,508207;http://depot.ville.montreal.qc.ca/cgmu/970_Notre-Dame_Curatteau.pdf;worldcongress2017/pilot_resologi/odtf1/ca/qc/mtl/mobil/traf/detector/det1/det-00970-02/
det-00974-01;det1;974;;Haig / Notre-Dame;45,576395;-73,515845;http://depot.ville.montreal.qc.ca/cgmu/974_Haig_Notre-Dame.pdf;worldcongress2017/pilot_resologi/odtf1/ca/qc/mtl/mobil/traf/detector/det1/det-00974-01/
